bank_id,bank,nim,noncurrent_loans,tier1_ratio,tier1_capital,roa,date,total_assets,rwa,equity,net_loans,deposits,ID,npl_ratio,real_gdp_growth,unemployment,t3m,cpi_inflation,mortgage_rate,house_price_index
628,JPMorgan Chase Bank NA,3.023207653584918,10349000,16.37,277099000,1.6365802666187084,2024-06-30,3510536000000,1692925260,314186000000,1311045000000,2488231000,628_20240630,0.7893703114690953,3.6,3.966666667,5.243333333,2.970257949,6.995384615,674.27
628,JPMorgan Chase Bank NA,3.024369064923224,11024000,16.17,278985000,1.5266922997268586,2024-09-30,3584105000000,1724916950,317746000000,1329167000000,2532004000,628_20240930,0.8293916415318767,3.3,4.166666667,4.99,2.426483032,6.508461538,681.12
628,JPMorgan Chase Bank NA,3.042332738710401,11852000,16.04,275737000,1.5041494608073118,2024-12-31,3459261000000,1718776545,312794000000,1335559000000,2516998000,628_20241231,0.8874186763744619,1.9,4.133333333,4.4,2.870690968,6.632307692,684.87
3510,Bank of America NA,2.9556722050815174,1577711,8.66,51314613,1.5974599311113755,2005-03-31,838247353000,592644147,56145421000,393749701000,544300112,3510_20050331,0.40068881220559965,4.5,5.3,2.536666667,3.206841261,5.768461538,333.41
3510,Bank of America NA,3.043504946955725,1938515,8.74,65869085,1.5235277343200635,2005-06-30,1047545743000,753308492,102052361000,504741536000,685007329,3510_20050630,0.38406092261842306,2.0,5.1,2.863333333,2.541026998,5.708461538,344.1
3510,Bank of America NA,3.010807360350056,1722985,8.67,67260219,1.466173197125021,2005-09-30,1057306654000,775721981,101645353000,529667314000,681661059,3510_20050930,0.3252957006140651,3.2,4.966666667,3.36,4.741833509,5.763846154,354.52
3510,Bank of America NA,2.99621231519164,1715974,8.65,69105568,1.4399266311091583,2005-12-31,1082250290000,799194761,102422683000,547121048000,686648523,3510_20051231,0.31363699244851573,2.2,4.966666667,3.826666667,3.338549817,6.226153846,362.57
3510,Bank of America NA,2.813083829598325,1890125,8.93,70515532,1.2913416295459954,2006-03-31,1104944125000,789565456,102443322000,572299422000,703361233,3510_20060331,0.3302685495286067,5.5,4.733333333,4.393333333,3.417918177,6.246923077,368.3
3510,Bank of America NA,2.803810643399607,1838268,8.85,72615034,1.3102346670421432,2006-06-30,1160260442000,820836488,102342143000,613023947000,701413745,3510_20060630,0.2998688728223532,1.0,4.633333333,4.703333333,4.181724316,6.602307692,372.09
3510,Bank of America NA,2.8107414877381927,1847476,9.01,75982220,1.3555519903617697,2006-09-30,1185580956000,842908520,110479298000,618253460000,720692678,3510_20060930,0.2988217809569557,0.6,4.633333333,4.906666667,2.012072435,6.56,375.15
3510,Bank of America NA,2.772352877478656,2115500,8.86,75794592,1.3242557836092457,2006-12-31,1196123794000,855903476,109526404000,634494712000,759600625,3510_20061231,0.33341491426015224,3.5,4.433333333,4.903333333,2.523977789,6.243846154,379.0
3510,Bank of America NA,2.608621728421564,2223845,8.66,74982311,1.255094211377422,2007-03-31,1204471773000,865673199,108801788000,641844279000,760832236,3510_20070331,0.34647734236484484,1.2,4.5,4.983333333,2.798197296,6.214615385,380.4
3510,Bank of America NA,2.603184848974609,2501176,8.43,77059074,1.2902881488290032,2007-06-30,1252402412000,913649292,108593412000,663774609000,776155074,3510_20070630,0.37681103888081985,2.5,4.5,4.736666667,2.692765114,6.358461538,380.15
3510,Bank of America NA,2.5642444773181547,3515197,8.1,75821380,1.1347104079157748,2007-09-30,1290376229000,936044384,108778651000,658833201000,771951932,3510_20070930,0.533548854955171,2.3,4.666666667,4.303333333,2.83382643,6.551538462,375.9
3510,Bank of America NA,2.5326817178650978,5016624,8.19,75046449,0.9295802324999618,2007-12-31,1312794218000,915803800,108480218000,669368439000,793571969,3510_20071231,0.7494563095168579,2.5,4.8,3.39,4.108813392,6.224615385,374.67
3510,Bank of America NA,2.372834187244653,6867214,7.91,75586038,0.3584394364827364,2008-03-31,1355154455000,955906390,111146525000,680285451000,792879012,3510_20080331,1.0094606594783695,-1.7,5.0,2.043333333,3.97490355,5.872307692,371.91
3510,Bank of America NA,2.513489187710597,8252642,7.9,75741993,0.5076731438578371,2008-06-30,1327429079000,958277172,108738653000,665279776000,806530947,3510_20080630,1.2404769087704839,2.4,5.333333333,1.626666667,4.935966106,6.086923077,362.51
3510,Bank of America NA,2.503700867652584,12057089,8.35,79607936,0.6162531447760865,2008-09-30,1359070851000,953035427,113770008000,659625970000,846230545,3510_20080930,1.8278675413583245,-2.1,6.0,1.493333333,4.953319875,6.322307692,351.1
3510,Bank of America NA,2.526341545864947,23880008,8.44,88503985,0.4057130518325392,2008-12-31,1470276918000,1048317904,132838001000,701204963000,954677580,3510_20081231,3.405567453178451,-8.5,6.866666667,0.296666667,-0.022228003,5.841428571,347.86
3510,Bank of America NA,2.588058295948184,30631807,8.43,86933368,0.5184112923819673,2009-03-31,1432862003000,1031201895,135295755000,665760770000,946996820,3510_20090331,4.601023127271377,-4.5,8.266666667,0.213333333,-0.446478768,5.06,350.42
3510,Bank of America NA,2.6709892863863134,37614950,9.04,97379594,0.5350544490066232,2009-06-30,1449558377000,1077196415,150000610000,728121734000,1008386106,3510_20090630,5.166024888909579,-0.7,9.3,0.173333333,-1.229174618,5.012307692,341.25
3510,Bank of America NA,2.670368961713589,42903891,9.94,106820387,0.4413324274104994,2009-09-30,1460147344000,1074178831,162795645000,716656428000,1002708983,3510_20090930,5.986674970562045,1.4,9.633333333,0.156666667,-1.377942863,5.162307692,332.35
3510,Bank of America NA,2.770891323193476,58556460,10.04,109073636,0.3592653336470194,2009-12-31,1465221449000,1086246042,166163746000,731831069000,1002692337,3510_20091231,8.001362948421093,4.4,9.933333333,0.056666667,2.814123123,4.922142857,329.8
3510,Bank of America NA,3.0717959458317274,60159974,10.2,110143578,0.3235906918273487,2010-03-31,1496322329000,1079849299,167719209000,716140337000,1000638927,3510_20100331,8.40058447929599,1.9,9.833333333,0.106666667,2.286171439,4.995833333,325.87
3510,Bank of America NA,2.9900371981713816,57562209,10.25,109962182,0.3423262236556615,2010-06-30,1518957843000,1072871969,169294066000,713735451000,1006992460,3510_20100630,8.064922222841918,3.9,9.633333333,0.146666667,1.121560594,4.922307692,322.91
3510,Bank of America NA,2.922525219125193,57412143,10.63,111527883,0.5420581673032708,2010-09-30,1489197995000,1048740988,169982097000,699996335000,1021723993,3510_20100930,8.201777656450158,3.1,9.466666667,0.156666667,1.118312247,4.447142857,326.04
3510,Bank of America NA,2.9120384937133688,55777068,10.76,114106479,0.6075430009532988,2010-12-31,1482278257000,1060153715,171325208000,713726969000,1038170649,3510_20101231,7.814902676039974,2.1,9.5,0.136666667,1.437793022,4.436153846,323.72
3510,Bank of America NA,3.0174678861646345,56970533,10.99,117267489,0.6767106726788319,2011-03-31,1451386720000,1066944693,173789028000,718095247000,1047013309,3510_20110331,7.933562189418028,-0.9,9.033333333,0.126666667,2.61924151,4.846923077,314.72
3510,Bank of America NA,2.94892065147501,56396287,11.21,118600138,0.545578753791953,2011-06-30,1456637584000,1057665827,175895052000,727304334000,1060482464,3510_20110630,7.754152472849145,2.7,9.066666667,0.046666667,3.502318151,4.650769231,309.17
3510,Bank of America NA,2.8384750091109625,59368235,11.41,120111897,0.648219317625888,2011-09-30,1471122588000,1052994170,179655799000,734131719000,1086150676,3510_20110930,8.086864177571382,-0.1,9.0,0.023333333,3.812621693,4.291538462,311.47
3510,Bank of America NA,2.8006112341130525,61535432,11.7,119597010,0.6583632562381203,2011-12-31,1459157302000,1021943522,177480029000,726946699000,1077176776,3510_20111231,8.464916627952114,4.6,8.633333333,0.013333333,3.062066838,4.002307692,312.91
3510,Bank of America NA,2.828174461372368,62061489,12.26,118432018,0.8843956796915707,2012-03-31,1448261695000,966310842,175945720000,710134088000,1088270375,3510_20120331,8.739404296840346,3.4,8.266666667,0.066666667,2.582875281,3.922307692,309.63
3510,Bank of America NA,2.6572554082225923,62948672,12.86,120163639,0.9520948485328457,2012-06-30,1445093157000,934136620,178930409000,702943873000,1062273625,3510_20120630,8.955006853015133,1.8,8.2,0.086666667,1.653870448,3.794615385,308.21
